Time,Velocity,Projectile,Angle,Laminate,Residual Velcity
0.000840013,450,Round,45,PF,239.8382874
0.00091001,450,Round,45,PF,239.8381042
0.000980012,450,Round,45,PF,239.8373718
0.001050007,450,Round,45,PF,239.836441
0.001120022,450,Round,45,PF,239.8374786
0.001190008,450,Round,45,PF,239.8371582
0.001260006,450,Round,45,PF,239.8371887
0.001330019,450,Round,45,PF,239.8366699
0.0014,450,Round,45,PF,239.8367157
0,550,Round,45,PF,550
0.00004,550,Round,45,PF,397.3353577
0.00008,550,Round,45,PF,359.8326721
0.000120002,550,Round,45,PF,357.7759705
0.000160002,550,Round,45,PF,356.6850281
0.000200002,550,Round,45,PF,355.3380737
0.000240002,550,Round,45,PF,354.17453
0.000280003,550,Round,45,PF,349.9505615
0.000320005,550,Round,45,PF,345.3861694
0.000360005,550,Round,45,PF,345.3980713
0.000400009,550,Round,45,PF,345.4389038
0.000440013,550,Round,45,PF,345.353302
0.000480006,550,Round,45,PF,345.4134827
0.000520001,550,Round,45,PF,345.4432373
0.000560011,550,Round,45,PF,345.5008545
0.000600003,550,Round,45,PF,345.5473633
0.000640005,550,Round,45,PF,345.6244507
0.000680001,550,Round,45,PF,345.7096863
0.000720004,550,Round,45,PF,345.7968445
0.000760001,550,Round,45,PF,345.8829041
0.0008,550,Round,45,PF,345.9264832
0,500,Round,45,PF,500
0.00004,500,Round,45,PF,368.698822
0.00008,500,Round,45,PF,322.0541992
0.000120015,500,Round,45,PF,314.1431274
0.000160008,500,Round,45,PF,312.7141113
0.000200005,500,Round,45,PF,310.9776611
0.000240013,500,Round,45,PF,308.9219971
0.000280015,500,Round,45,PF,307.3322449
0.000320014,500,Round,45,PF,304.9656677
0.00036,500,Round,45,PF,298.2315979
0.000400004,500,Round,45,PF,298.5346069
0.000440009,500,Round,45,PF,298.719696
0.000480007,500,Round,45,PF,298.8165894
0.000520012,500,Round,45,PF,298.8472595
0.00056001,500,Round,45,PF,298.8471985
0.000600009,500,Round,45,PF,298.8468323
0.000640008,500,Round,45,PF,298.8468933
0.00068,500,Round,45,PF,298.847168
0.000720008,500,Round,45,PF,298.8460693
0.000760004,500,Round,45,PF,298.8463135
0.0008,500,Round,45,PF,298.8458557
0,600,Round,45,PF,600
0.00004,600,Round,45,PF,428.1435242
0.00008,600,Round,45,PF,397.9973755
0.000120005,600,Round,45,PF,397.4154968
0.000160009,600,Round,45,PF,396.816803
0.000200002,600,Round,45,PF,396.2563477
0.000240005,600,Round,45,PF,395.8176575
0.000280002,600,Round,45,PF,393.0230713
0.000320006,600,Round,45,PF,387.9613342
0.000360008,600,Round,45,PF,388.5007935
0.000400002,600,Round,45,PF,389.2278137
0.000440005,600,Round,45,PF,389.9152832
0.00048,600,Round,45,PF,390.542572
0.000520008,600,Round,45,PF,390.9202576
0.000560009,600,Round,45,PF,391.0290527
0.000600006,600,Round,45,PF,391.1758423
0.000640006,600,Round,45,PF,391.1144104
0.000680008,600,Round,45,PF,391.270752
0.000720006,600,Round,45,PF,391.4037781
0.000760004,600,Round,45,PF,391.6021118
0.0008,600,Round,45,PF,391.8353271
0,700,Round,45,PF,700
0.00004,700,Round,45,PF,497.9137268
0.00008,700,Round,45,PF,473.8407593
0.000120002,700,Round,45,PF,474.699585
0.000160002,700,Round,45,PF,475.35495
0.000200001,700,Round,45,PF,474.6387329
0.000240001,700,Round,45,PF,468.8621521
0.000280003,700,Round,45,PF,468.2788696
0.000320001,700,Round,45,PF,467.6850891
0.000360003,700,Round,45,PF,467.666748
0.000400003,700,Round,45,PF,467.6213074
0.000440001,700,Round,45,PF,467.5322266
0.00048,700,Round,45,PF,467.5341797
0.000520003,700,Round,45,PF,467.5349731
0.00056,700,Round,45,PF,467.5405273
0.000600002,700,Round,45,PF,467.8592834
0.000640003,700,Round,45,PF,468.3735046
0.000680002,700,Round,45,PF,468.4246826
0.000720001,700,Round,45,PF,468.426178
0.000760001,700,Round,45,PF,468.4266052
0.0008,700,Round,45,PF,468.4100037
0,200,Round,0,S,200
0.00006,200,Round,0,S,122.7543182
0.000120046,200,Round,0,S,54.2599144
0.000180001,200,Round,0,S,32.66791153
0.000240058,200,Round,0,S,-8.470038414
0.000300041,200,Round,0,S,-35.86964035
0.000360032,200,Round,0,S,-31.33663177
0.000420008,200,Round,0,S,-31.3363266
0.000480007,200,Round,0,S,-31.33629227
0.000540015,200,Round,0,S,-31.33632469
0.000600006,200,Round,0,S,-31.33606529
0.000660015,200,Round,0,S,-31.33892059
0.000720001,200,Round,0,S,-31.34209633
0.000780049,200,Round,0,S,-31.34549904
0.000840045,200,Round,0,S,-31.34549522
0.000900055,200,Round,0,S,-31.3446064
0.000960008,200,Round,0,S,-31.3445282
0.001020053,200,Round,0,S,-31.34703445
0.001080046,200,Round,0,S,-31.34416389
0.001140047,200,Round,0,S,-31.34418297
0.0012,200,Round,0,S,-31.34580994
0,250,Round,0,S,250
0.00006,250,Round,0,S,153.26651
0.000120052,250,Round,0,S,80.0034256
0.000180018,250,Round,0,S,46.57113647
0.000240038,250,Round,0,S,14.30996513
0.000300016,250,Round,0,S,-24.43762207
0.000360051,250,Round,0,S,-27.68405151
0.000420032,250,Round,0,S,-24.8631134
